rel_cont_area,rel_hull_area,num_defects,sum_angles,thumb,index,middle,ring,pinky
0.5287613924996265,0.6630061258030778,16,39.37884835182955,1,0,0,0,0
0.5287613924996265,0.6630061258030778,16,39.37884835182955,1,0,0,0,0
0.5624910624910625,0.6754351754351754,21,53.0651827673136,1,0,0,0,0
0.5723348217866788,0.6845035963528436,21,54.00987142792958,1,0,0,0,0
0.579220867208672,0.6833468834688347,17,43.778422628516964,1,0,0,0,0
0.579220867208672,0.6833468834688347,17,43.778422628516964,1,0,0,0,0
0.5914369981513625,0.6947137434204027,24,59.715707131336856,1,0,0,0,0
0.521171458998935,0.6990788072417465,20,47.82396694354939,1,0,0,0,0
0.5295247001870392,0.6933215975354825,18,43.30557902458541,1,0,0,0,0
0.5500698620982929,0.7048721219852986,18,42.738906324424256,1,0,0,0,0
0.5500698620982929,0.7048721219852986,18,42.738906324424256,1,0,0,0,0
0.5677283556229358,0.7140749363798798,18,44.661871037892965,1,0,0,0,0
0.5677283556229358,0.7140749363798798,18,44.661871037892965,1,0,0,0,0
0.5741254386957998,0.7120032831427601,20,49.04180147921349,1,0,0,0,0
0.5780685522953564,0.7139028401915,18,43.95388712378328,1,0,0,0,0
0.5835083713850837,0.7131506849315068,22,53.50950671358391,1,0,0,0,0
0.5876567398119122,0.7138401253918495,24,57.50600392196242,1,0,0,0,0
0.5919925754664757,0.7148311569898076,20,48.32901966200793,1,0,0,0,0
0.5899647887323943,0.7079896042924212,24,57.76338151877587,1,0,0,0,0
0.5902636216010779,0.7078395466952285,19,46.96518825619094,1,0,0,0,0
0.583909457799614,0.7123793648008423,19,46.6523022399623,1,0,0,0,0
0.578977994075328,0.7111369727747214,22,52.78420447254108,1,0,0,0,0
0.5739674005803038,0.6589541730670763,22,54.30113085955028,1,0,0,0,0
0.5804801941579266,0.6627697841726619,22,54.22584323205574,1,0,0,0,0
0.5789546933881466,0.6616992120589242,24,60.363337421922076,1,0,0,0,0
0.5785124841303427,0.6654358865848498,18,45.09665311559377,1,0,0,0,0
0.5882535094962841,0.672233691164327,19,46.27780026359455,1,0,0,0,0
0.5882535094962841,0.672233691164327,19,46.27780026359455,1,0,0,0,0
0.5886938775510204,0.6748775510204081,18,44.3367653534343,1,0,0,0,0
0.5886938775510204,0.6748775510204081,18,44.3367653534343,1,0,0,0,0
0.580752840909091,0.6679281655844156,20,49.86914068128207,1,0,0,0,0
0.5752482181848144,0.6706422774275944,20,49.433353941495795,1,0,0,0,0
0.5778642936596218,0.6694372347876241,18,43.75921148747779,1,0,0,0,0
0.5820010314595152,0.6731820526044353,18,44.71521438747743,1,0,0,0,0
0.5866214291698082,0.681222250146603,17,41.107036797992045,1,0,0,0,0
0.5688098747236551,0.672623434045689,20,47.9118102310547,1,0,0,0,0
0.5725248330890734,0.6770578895945286,15,36.45129030298571,1,0,0,0,0
0.5809047677112548,0.6803540218672519,18,45.124035999414275,1,0,0,0,0
0.5773643256185156,0.6754588986432561,17,42.181022507108366,1,0,0,0,0
0.5843795678901104,0.6780000400472558,16,39.519618293405216,1,0,0,0,0
0.5808134920634921,0.6794146825396825,14,34.78909528185336,1,0,0,0,0
0.5853571428571429,0.6808829365079365,16,39.15254204704753,1,0,0,0,0
0.5790487800082578,0.6768938872613594,20,48.43307626863489,1,0,0,0,0
0.5807201726844584,0.6773842229199372,18,43.97858720399746,1,0,0,0,0
