date,hour,power_kw,plant_capacity_kw,error_pct
2026-06-22,07:00,0.41,6.0,93.17
2026-06-22,08:00,1.91,6.0,68.17
2026-06-22,09:00,3.03,6.0,49.5
2026-06-22,10:00,3.89,6.0,35.17
2026-06-22,11:00,4.63,6.0,22.83
2026-06-22,12:00,5.07,6.0,15.5
2026-06-22,13:00,5.07,6.0,15.5
2026-06-22,14:00,4.23,6.0,29.5
2026-06-22,15:00,4.14,6.0,31.0
2026-06-22,16:00,3.37,6.0,43.83
2026-06-22,17:00,1.27,6.0,78.83
2026-06-22,18:00,0.6,6.0,90.0
2026-06-23,07:00,0.74,6.0,87.67
2026-06-23,08:00,1.88,6.0,68.67
2026-06-23,09:00,3.03,6.0,49.5
2026-06-23,10:00,4.06,6.0,32.33
2026-06-23,11:00,4.71,6.0,21.5
2026-06-23,12:00,5.08,6.0,15.33
2026-06-23,13:00,5.25,6.0,12.5
2026-06-23,14:00,4.96,6.0,17.33
2026-06-23,15:00,4.33,6.0,27.83
2026-06-23,16:00,3.58,6.0,40.33
2026-06-23,17:00,1.14,6.0,81.0
2026-06-23,18:00,0.82,6.0,86.33
2026-06-24,07:00,0.25,6.0,95.83
2026-06-24,08:00,0.23,6.0,96.17
2026-06-24,09:00,1.17,6.0,80.5
2026-06-24,10:00,4.23,6.0,29.5
2026-06-24,11:00,4.02,6.0,33.0
2026-06-24,12:00,5.32,6.0,11.33
2026-06-24,13:00,5.03,6.0,16.17
2026-06-24,14:00,4.68,6.0,22.0
2026-06-24,15:00,4.22,6.0,29.67
2026-06-24,16:00,1.97,6.0,67.17
2026-06-24,17:00,2.75,6.0,54.17
2026-06-24,18:00,0.7,6.0,88.33
2026-06-25,07:00,0.58,6.0,90.33
2026-06-25,08:00,2.12,6.0,64.67
2026-06-25,09:00,3.0,6.0,50.0
2026-06-25,10:00,4.09,6.0,31.83
2026-06-25,11:00,3.61,6.0,39.83
2026-06-25,12:00,5.06,6.0,15.67
2026-06-25,13:00,4.51,6.0,24.83
2026-06-25,14:00,1.71,6.0,71.5
2026-06-25,15:00,0.81,6.0,86.5
2026-06-25,16:00,0.09,6.0,98.5
2026-06-25,17:00,0.78,6.0,87.0
2026-06-25,18:00,0.76,6.0,87.33
2026-06-26,07:00,0.75,6.0,87.5
2026-06-26,08:00,1.89,6.0,68.5
2026-06-26,09:00,3.08,6.0,48.67
2026-06-26,10:00,4.05,6.0,32.5
2026-06-26,11:00,4.71,6.0,21.5
2026-06-26,12:00,5.05,6.0,15.83
2026-06-26,13:00,5.18,6.0,13.67
2026-06-26,14:00,4.83,6.0,19.5
2026-06-26,15:00,4.08,6.0,32.0
2026-06-26,16:00,3.4,6.0,43.33
2026-06-26,17:00,2.93,6.0,51.17
2026-06-26,18:00,0.32,6.0,94.67
2026-06-27,07:00,0.74,6.0,87.67
2026-06-27,08:00,1.89,6.0,68.5
2026-06-27,09:00,3.01,6.0,49.83
2026-06-27,10:00,3.97,6.0,33.83
2026-06-27,11:00,4.68,6.0,22.0
2026-06-27,12:00,4.99,6.0,16.83
2026-06-27,13:00,5.0,6.0,16.67
2026-06-27,14:00,2.43,6.0,59.5
2026-06-27,15:00,1.64,6.0,72.67
2026-06-27,16:00,3.33,6.0,44.5
2026-06-27,17:00,2.12,6.0,64.67
2026-06-27,18:00,0.49,6.0,91.83
2026-06-28,07:00,0.8,6.0,86.67
2026-06-28,08:00,1.97,6.0,67.17
2026-06-28,09:00,2.43,6.0,59.5
2026-06-28,10:00,4.0,6.0,33.33
2026-06-28,11:00,4.76,6.0,20.67
2026-06-28,12:00,5.03,6.0,16.17
2026-06-28,13:00,4.95,6.0,17.5
2026-06-28,14:00,4.68,6.0,22.0
2026-06-28,15:00,1.68,6.0,72.0
2026-06-28,16:00,3.28,6.0,45.33
2026-06-28,17:00,2.04,6.0,66.0
2026-06-28,18:00,0.52,6.0,91.33
2026-06-29,07:00,0.32,6.0,94.67
2026-06-29,08:00,0.75,6.0,87.5
2026-06-29,09:00,2.91,6.0,51.5
2026-06-29,10:00,3.77,6.0,37.17
2026-06-29,11:00,2.84,6.0,52.67
2026-06-29,12:00,4.9,6.0,18.33
2026-06-29,13:00,4.9,6.0,18.33
2026-06-29,14:00,4.63,6.0,22.83
2026-06-29,15:00,4.13,6.0,31.17
2026-06-29,16:00,3.2,6.0,46.67
2026-06-29,17:00,2.01,6.0,66.5
